Organization,Description,Year
3DTK,The 3D Toolkit provides algorithms and methods to process 3D point clouds,2018
52° North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics,2018
AerospaceResearch.net,making space together,2018
aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""",2018
Amahi,"Amahi, a home digital assistant at your fingertips.",2018
AOSSIE - Australian Open Source Software Innovation and Education,Australian Umbrella Org for Open-Source Projects,2018
Apache Software Foundation,Providing open source software to the public free of charge,2018
Apertium,A free/open-source platform for machine translation and language technology,2018
Apertus Association,Open Technology for Professional Film Production,2018
appleseedhq,A modern open source rendering engine for animation and visual effects,2018
ArduPilot,The worlds most advanced open source autopilot,2018
BeagleBoard.org Foundation,Open hardware and software for physical computing,2018
Beam Community,"From distributed systems, to robust servers and language design on the Erlang VM",2018
BeeWare Project,Tools for cross-platform Python application development.,2018
Berkman Klein Center for Internet & Society at Harvard University,"Exploring cyberspace, sharing in its study, and helping pioneer its development.",2018
Blender Foundation,We build a free and open source 3D creation suite.,2018
Boost C++ Libraries,Boost provides free peer-reviewed portable C++ source libraries,2018
Boston University / XIA,Crowdsourcing the future Internet,2018
BRL-CAD,"Solid modeling, 3D printing, comp. graphics, & other computer-aided tech (CAx)!",2018
Canadian Centre for Computational Genomics,Analytical solutions for Next-Generation Sequencing data,2018
Catrobat,Computational Thinking for all through visual programming on phones,2018
CCExtractor Development,"Experimenting with video software and hardware, subtitles, imaging, cloud...",2018
Center for Research In Open Source Software (CROSS) at UC Santa Cruz,Bridging the Gap Between Student Work and Open Source Software Projects,2018
CERN-HSF,Umbrella organization for Particle (High-energy) Physics-related projects,2018
CGAL Project,C++ library of computational geometry and geometry processing,2018
CHAOSS: Community Health Analytics Open Source Software,Advacing open source project health and sustainability,2018
Checker Framework,"Preventing programming errors before they happen, via easy-to-use verification",2018
CiviCRM LLC,"Build, engage and organize your constituents",2018
Classical Language Toolkit,NLP for the Ancient World,2018
"CLiPS, University of Antwerp",Computational (Psycho)Linguistics,2018
Cloud Native Computing Foundation (CNCF),Sustaining open source cloud native projects like Kubernetes and Prometheus,2018
CloudCV,Building platforms for reproducible AI research,2018
coala,Linting and Fixing Code for All Languages,2018
