Organization,Description,Year
52°North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics,2019
AboutCode.org,Find the origin and license of code,2019
AerospaceResearch.net,making space together,2019
aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""",2019
Amahi,Making Home Networking and Storage Simple,2019
Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers,2019
AOSSIE - Australian Open Source Software Innovation and Education,Australian Umbrella Org for Open-Source Projects,2019
Apertium,A free/open-source machine translation platform,2019
apertus° Association,open technology for professional film production,2019
API Client Tools at Google,Industry-leading user experiences for networked APIs.,2019
appleseedhq,A modern open source rendering engine for animation and visual effects,2019
Ardupilot.org,The worlds most advanced open source autopilot,2019
Bazel,"Build and test software of any size, quickly and reliably",2019
BeagleBoard.org,Open hardware computing from kindergarten to kickstarter,2019
Berkman Klein Center for Internet and Society,"Exploring cyberspace, sharing in its study, & helping to pioneer its development",2019
"Biomedical Informatics, Emory University","Department of Biomedical Informatics (BMI), Emory University School of Medicine",2019
Blender Foundation,"Free and open source 3D creation for everyone, forever.",2019
Boost C++,Boost provides free peer-reviewed portable C++ source libraries,2019
BRL-CAD,"Solid geometry, computer graphics, 3D printing, modeling, CAD, CAM, & other CAx!",2019
Buildroot,Making Embedded Linux easy,2019
Canadian Center for Computational Genomics,Analytical solutions for Next-Generation Sequencing data,2019
Catrobat,Computational Thinking for All with Free Visual Coding Apps,2019
cBioPortal for Cancer Genomics,Developing open source solutions for discovery from complex cancer data,2019
CBMI@UTHSC,We develop Biomedical and Clinical informatics applications,2019
CCExtractor Development,"Tools to make the world more accessible, starting with media",2019
Center for Research in Open Source Software at UC Santa Cruz,Bridging Gap Between Student Work and Successful Open Souce Projects,2019
CERN-HSF,Umbrella organization for Particle (High-Energy) Physics-related projects,2019
CGAL project,C++ library of computational geometry and geometry processing,2019
CHAOSS,Aimed at improving our understanding of open source health and sustainability,2019
Chapel,a Productive Parallel Programming Language,2019
Checker Framework,"Prevent programming errors before they happen, via easy-to-use verification",2019
CircuitVerse.org,Have fun exploring logic circuits right from your browser!,2019
CiviCRM,Growing and sustaining relationships,2019
"CLiPS, University of Antwerp",Computational Psycholinguistics,2019
Cloud Native Computing Foundation (CNCF),Sustaining and Integrating Cloud Native Open Source Technologies,2019
CloudCV,Building platforms for reproducible AI research,2019
coala,Linting and Fixing Code for All Languages,2019
Computational Biology @ University of Nebraska-Lincoln,"Tool development in bioinformatics, computational biology, data visualization",2019
coreboot,open source firmware projects,2019
Creative Commons,"Nonprofit building tools to promote digital creativity, sharing, and innovation.",2019
