Organization,Description,Year
52° North GmbH,52°North works on innovative ideas and technologies in geoinformatics,2020
AboutCode.org,"Find the origin, license and vulnerabilities of your code and deps.",2020
Academy Software Foundation (ASWF),Open source foundation for film industry projects.,2020
Accord Project,Linux Foundation’s open source project for smart legal contracts.,2020
AerospaceResearch.net,making space together,2020
afl++,Making fuzzing more effective every day,2020
Amahi,Making Home Networking and Storage Simple,2020
Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers,2020
AnitaB.org Open Source,Women transform technology. Technology transforms the world.,2020
AOSSIE,Australian Umbrella Org for Open-Source Projects,2020
Apertium,A free/open-source machine translation platform,2020
apertus° Association,Open Technology for Professional Film Production,2020
appleseed,A modern open source rendering engine for animation and visual effects,2020
Arduino,Open source electronic prototyping platform,2020
ArduPilot,"The world's most versatile, trusted and open autopilot",2020
BeagleBoard.org,Open hardware community driven single board computers - Linux at the edge,2020
BioGears,ARA is an employee-owned scientific research and engineering company.,2020
Blender Foundation,We build a free and open source 3D creation suite.,2020
Boost C++,Boost provides free peer-reviewed portable C++ source libraries,2020
BRL-CAD,"We make solid modeling, 3D printing, & other computer-aided technologies (CAx)",2020
caMicroscope,Toolkit for cancer imaging research,2020
Canadian Centre for Computational Genomics,Analytical solutions for Next-Generation Sequencing data,2020
Casbin,"Authorization library that supports access control models like ACL, RBAC, ABAC",2020
Catrobat,Computational thinking for all with free visual coding apps,2020
CCExtractor Development,"Tools to make the world more accessible. ML/AI, Rust, Flutter, peer-to-peer...",2020
Ceph Foundation,The Future of Storage,2020
CERN-HSF,The umbrella organization for Particle (High-Energy) Physics-related projects,2020
CGAL Project,C++ library of computational geometry and geometry processing,2020
CHAOSS,CHAOSS creates software and metrics to better understand community health,2020
Chapel,A Productive Parallel Programming Language,2020
Checker Framework,"Prevent programming errors before they happen, via easy-to-use verification",2020
Checkstyle,Tool to help programmers write Java code that adheres to a coding standard.,2020
CircuitVerse.org,Have fun exploring logic circuits right from your browser!,2020
CiviCRM,Open source CRM for nonprofits and civic sector organizations.,2020
Cloud Native Computing Foundation (CNCF),Building Sustainable Ecosystems for Cloud Native,2020
CloudCV,Building platforms for reproducible AI research,2020
Continuous Delivery Foundation,A Neutral Home for the Next Generation of Continuous Delivery Collaboration,2020
coreboot,"Fast, secure and flexible OpenSource firmware",2020
Creative Commons,"Nonprofit building a vibrant, collaborative, and global digital commons.",2020
CRIU,Checkpoint/Restore in User-space,2020
Cuneiform Digital Library Initiative (CDLI),International digital library of artifacts inscribed with cuneiform writing,2020
Dart,Dart is a client-optimized language for fast apps on any platform.,2020
DBpedia,Global and Unified Access to Knowledge.,2020
Debian,The Universal Operating System,2020
Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace",2020
Django Software Foundation,The web framework for perfectionists with deadlines.,2020
Drupal,Drupal is a Framework/CMS. It's built many of the sites and apps you use daily.,2020
Eclipse Foundation,"Non-profit, member-driven organization, a community of developers & OSS projects",2020
Elastic,"We are the creators of Elasticsearch, Kibana, Beats, and Logstash.",2020
Embox,Modular and configurable OS for embedded applications,2020
Erlang Ecosystem Foundation,Supporting the Beam community,2020
Fedora Project,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First",2020
FFmpeg,"A complete, cross-platform solution to record, convert and stream audio & video",2020
FOSSology,Open Source Compliance with Open Source Software,2020
FrameNet Brasil (UFJF),Natural Language Understanding with structured computational semantics,2020
Free and Open Source Silicon Foundation,Free the last nanometer! Open source silicon and EDA tools,2020
FreeBSD Project,FreeBSD: The Foundation of the Internet,2020
FreeType,FreeType is a freely available software library to render fonts.,2020
FRRouting,"Routing suite for *nix platforms including BGP, IS-IS, LDP, OSPF, PIM, and RIP.",2020
GDevelop,The cross-platform game engine designed for everyone.,2020
Gentoo Foundation,"A highly flexible, source-based Linux distribution",2020
GeomScale,Scalable algorithms for geometric statistics,2020
Git,"fast, scalable, distributed revision control system",2020
Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health,2020
GNOME,The elegant and ethical desktop experience,2020
GNSS-SDR,An open source Global Navigation Satellite Systems software-defined receiver.,2020
GNU Compiler Collection (GCC),GCC,2020
GNU Octave,Free Your Numbers,2020
GNU Radio,The Free & Open Software Radio Ecosystem,2020
Godot Engine,Godot is a multi-platform 2D and 3D game engine with a feature-rich editor,2020
GPAC,C multimedia framework,2020
GraphQL Foundation,GraphQL is a fast and efficient query language for APIs.,2020
Haiku,A desktop operating system written in C++,2020
Haskell.org,"Standardized, statically typed, lazy functional programming language",2020
Hazelcast,In-Memory Computing Platform,2020
Homebrew,The Missing Package Manager for macOS (or Linux),2020
Hydra Ecosystem,Automate REST APIs. Build next generation API clients.,2020
INCF,Enabling open and FAIR neuroscience,2020
Inclusive Design Institute,The IDI addresses the challenge of designing ICT to work for all potential users,2020
Inkscape,Vector graphics editor,2020
Intel Media And Audio For Linux,We work on Linux opensource video and audio software for Intel.,2020
Internet Archive,Universal Access to All Knowledge,2020
JBoss Community,Community of Java projects around JBoss Middleware,2020
JdeRobot - Universidad Rey Juan Carlos,A software toolkit for developing applications in Robotics and Computer Vision,2020
Jenkins project,Open-source automation server for building great things at any scale,2020
Joplin,A note taking and to-do application with synchronisation capabilities,2020
Kapitan,"Templated configuration management for Kubernetes, Terraform and other things",2020
KDE Community,International community creating Free Software together,2020
Kiwix,Internet content for people without internet access,2020
Kodi Foundation,The ultimate entertainment center,2020
Kubeflow,The machine learning toolkit for Kubernetes.,2020
LabLua,Programming Languages Research with emphasis on the Lua language,2020
Libre Space Foundation,Open-source software and hardware technologies for space,2020
LibreHealth,Healthcare for Humanity,2020
LibreOffice,LibreOffice is a free and open source office suite.,2020
libvirt,virtualization abstraction library,2020
Linkerd,Linkerd is the ultralight service mesh for Kubernetes and beyond,2020
Liquid Galaxy project,Liquid Galaxy is a remarkable panoramic system that is tremendously compelling.,2020
lowRISC,Open to the core - collaborative engineering for open source silicon and tools,2020
MacPorts,Open Source package manager for macOS.,2020
MariaDB Foundation,One of the most popular databases on the web with many notable users,2020
Matrix,"An open network for secure, decentralized communication",2020
MBDyn,Free general purpose Multibody Dynamics analysis,2020
MDAnalysis,A Python toolkit for analysing molecular dynamics simulations.,2020
MetaBrainz Foundation Inc.,"We curate and publish community maintained data sets, focused on music and books",2020
Metasploit,The world’s most used penetration testing framework,2020
MGGG Redistricting Lab,MGGG researches applications in math and computer science for US redistricting,2020
MIT App Inventor,Anyone Can Build Apps That Impact the World,2020
Mixxx,DJ Mixing App With Powerful Features For All DJs,2020
mlpack,"mlpack is a fast, flexible machine learning library written in C++.",2020
Moira,Moira is a realtime alerting system based on Graphite data,2020
MoveIt,Moving robots into the future,2020
Mozilla,Keeping the Internet open and accessible to all.,2020
MuseScore,MuseScore is music notation software used by millions of musicians worldwide,2020
mypy,Mypy is an optional static type checker for Python.,2020
MZmine,MZmine is an open-source software for mass-spectrometry data processing.,2020
National Resource for Network Biology (NRNB),Developing open source software to enable network-based biomedical discovery,2020
Neovim,hyperextensible Vim-based text editor,2020
Netty,Netty is an asynchronous event-driven network framework,2020
NumFOCUS,NumFOCUS promotes open source scientific software.,2020
NV Access,Empowering lives through non-visual access to technology,2020
Open Bioinformatics Foundation (OBF),Promoting practice & philosophy of OSS & Open Science in biological research.,2020
Open Chemistry,Advancing Open Source and Open Science for Chemistry,2020
Open Genome Informatics,Association of open access genomics and bioinformatics projects.,2020
Open Roberta,Open Roberta® Lab is an online IDE introducing kids to program robots with NEPO®,2020
Open Source Robotics Foundation,"Open source software for use in robotics research, education and industry",2020
OpenAstronomy,Opening the eyes of research astronomy software to the whole world.,2020
OpenCV,https://opencv.org,2020
OpenEMR,OpenEMR is a leader in healthcare open-source software,2020
OpenHMD,Multi-Platform Open Source driver for AR/VR/XR devices with stable ABI.,2020
OpenMined,Answer questions using data you cannot see.,2020
OpenMRS,Write code. Save lives.,2020
OpenRefine,"a free, open source power tool for working with messy data and improving it",2020
OpenStreetMap,Creating and distributing free geographic data for the world.,2020
openSUSE Project,openSUSE is a worldwide Free and Open Source Software community and project.,2020
OpenWISP,A Hackable Network Management System for the 21st Century,2020
Oppia Foundation,Oppia is used for collaboratively building interactive and intelligent tutors.,2020
Orcasound,Humans & machines listening together to save the whales.,2020
OSGeo,The Open Source Geospatial Foundation,2020
OWASP Foundation,"OWASP, The Open Web Application Security Project",2020
PEcAn Project,"Ecosystem science, policy, and management informed by the best data and models",2020
Percona,Unbiased open source database experts.,2020
Performance Co-Pilot,System-level performance analysis toolkit,2020
Pitivi,Allowing everyone on the planet to express themselves through filmmaking,2020
Point Cloud Library,An open project for 2D/3D image and point cloud processing.,2020
PostgreSQL,PostgreSQL is the world's most advanced Open Source database!,2020
Postman,The Collaboration Platform for API Development,2020
Processing Foundation,Our goal is to empower people of all backgrounds to learn how to program.,2020
Purr Data,realtime audio/video visual programming language,2020
Python Software Foundation,Python is a programming language used by software developers and scientists.,2020
QEMU,Open source machine emulator and virtualizer,2020
Qubes OS,A reasonably security operating system,2020
R Project for Statistical Computing,R is a free software environment for statistical computing and graphics,2020
Radare,Radare2 - Reverse Engineering Framework and Toolset,2020
ReactOS,Open your windows to freedom!,2020
Red Hen Lab,Research on Multimodal Communication,2020
RoboComp,An open-source framework to develop and manage robot components,2020
Rocket.Chat,Open source team chat and federated collaboration platform,2020
RTEMS Project,RTEMS is a real-time operating system kernel used around the world and in space.,2020
Ruby,"The Ruby programming language, libraries, and Ruby projects",2020
SageMath,open-source mathematics software system,2020
Samba,Opening windows to a wider world,2020
SCoRe Lab,"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.",2020
ScummVM,ScummVM is a GSoC umbrella for game preservation projects,2020
Shogun,Unified and efficient Machine Learning,2020
SPDX,An open standard for communicating Software Bill of Materials,2020
Ste||ar group,Shaping a Scalable Future,2020
strace,linux syscall tracer,2020
Submitty,Programming assignment submission with automated grading and manual TA grading,2020
Sugar Labs,"We make tools that learners use to explore, discover, create, and reflect.",2020
Swift,"Swift is a modern, type-safe, and fun general purpose programming language",2020
SymbiFlow,A completely FOSS toolchain for FPGAs.,2020
SymPy,Symbolic mathematics in Python,2020
Synfig,Open-source 2D animation software,2020
syslog-ng,"syslog-ng is an enhanced log daemon, supporting a wide range of I/O methods",2020
TARDIS-SN,Exploring supernovae made easy,2020
TensorFlow,An open-source machine learning framework for everyone.,2020
The Apache Software Foundation,Providing open source software to the public free of charge,2020
The GNU Project,GNU is a free software Operating System and a collection of other utilities,2020
The Honeynet Project,The Honeynet Project - R&D for Honeypot/Honeynet Technology and InfoSec Research,2020
The Java Pathfinder Team,JPF is a highly extensible Java virtual machine built for software verification,2020
The Julia Language,A fresh approach to Technical Computing,2020
The Libreswan Project,Encrypting the Internet with IKE and IPsec,2020
The Linux Foundation,A non-profit consortium dedicated to fostering the growth of Linux,2020
The LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,2020
The Mifos Initiative,End Poverty One Line of Code at a Time,2020
The NetBSD Foundation,Of course it runs NetBSD,2020
The ns-3 Network Simulator Project,ns-3 is a packet-level network simulator for research and education.,2020
The Terasology Foundation,Voxel world game/engine with a large focus on extensibility and developer tools,2020
The Wine Project,"Wine runs Windows applications on Linux, BSD, Solaris, macOS and Android.",2020
VideoLAN,Open Source Multimedia for everyone,2020
webpack,webpack is a module bundler.,2020
Wikimedia Foundation,Global movement whose mission is to bring free educational content to the world,2020
Wireshark,Wireshark is the world's foremost network protocol analyzer.,2020
X.Org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)",2020
Xapian Search Engine Library,"Fast, scalable and flexible search",2020
XMPP Standards Foundation,Secure and federated communication with open standards,2020
XWiki,The Advanced Open Source Enterprise Wiki,2020
Zulip,"Powerful, modern, open source team chat, complete with apps for every platform.",2020
