Organization,Description,Year
OpenCV,Open Source Computer Vision and Machine Learning Library,2017
OpenMRS,Write Code. Save Lives.,2017
OpenStreetMap,OpenStreetMap - Creating and distributing free geographic data for the world.,2017
openSUSE,"The makers' choice for sysadmins, developers and desktop users.",2017
OpenWISP,Open Source solution to build and manage wifi networks,2017
Oppia Foundation,Oppia is a tool for collaboratively building interactive and intelligent tutors.,2017
OSGeo,Open Source Geospatial Foundation,2017
oVirt,Open virtual datacenter management for all,2017
ownCloud,A safe home for all your data,2017
P2PSP.org,Shaping the future Internet TV,2017
PEcAn Project,Develop accessible tools for reproducible ecosystem modeling and forecasting,2017
Performance Co-Pilot,System-level performance analysis toolkit,2017
Pharo Consortium,Pharo: The Immersive Programming Experience,2017
phpBB Forum Software,phpBB is the most widely used free and open source forum software,2017
phpMyAdmin,A web interface for MySQL written in PHP,2017
Physical Web Project,Physical Web GSoC project based on the Physical Web,2017
Plone Foundation,The premier python-based open source CMS,2017
PMD,An extensible cross-language static code analyzer.,2017
Polly Labs,Promoting Polyhedral Compilation,2017
Portland State University,Individual and Academic Open Source,2017
PostgreSQL,"PostgreSQL is a powerful, open source object-relational database system.",2017
Public Lab,Open hardware and software to help communities measure and analyze pollution,2017
Python Software Foundation,Python is a programming language used by scientists & software developers alike.,2017
QEMU,Open source machine emulator and virtualizer,2017
Qubes OS,A reasonably secure operating system,2017
R project for statistical computing,R is a free software environment for statistical computing and graphics,2017
radare2,Radare2 reverse engineering framework and toolset,2017
ReactOS,"ReactOS is a free, open source, Windows compatible operating system.",2017
Red Hen Lab,Research on Multimodal Communication,2017
RoboComp,A simple robotics framework.,2017
Rocket.Chat,The ultimate open source chat and messaging platform,2017
Rspamd,High-performance spam filtering system,2017
RTEMS Project,RTEMS is a real-time operating system used around the world and in space.,2017
Ruby on Rails,Ruby on Rails make web application development easy and fun.,2017
Ruby Science Foundation,Tools for Scientific Computing in Ruby,2017
Sage Mathematical Software System,open source math software,2017
Samba,Opening windows to a wider world.,2017
Scala,The programming language where object-oriented meets functional.,2017
Scilab,Numerical computational package and high-level programming language.,2017
ScummVM,ScummVM is a GSoC umbrella for game preservation projects,2017
Shogun Machine Learning Toolbox,Unified and efficient Machine Learning,2017
Sigmah,Java/GWT platform for humanitarian project management,2017
Software Product Data Exchange (SPDX),Promoting open source compliance through standard communication of SW licenses.,2017
STE||AR Group,The C++ Standards Library for Concurrency and Parallelism,2017
"Stony Brook University, Biomedical Informatics",Advance biomedical knowledge through innovative data science research,2017
strace,linux syscall tracer,2017
Sugar Labs,"We make tools that learners use to explore, discover, create, and reflect.",2017
Sustainable Computing Research Group ( SCoRe ),"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.",2017
SymPy,SymPy is a Python library for symbolic mathematics.,2017
"Systers, an Anita Borg Institute community",Helping women find their potential in code.,2017
TEAMMATES @ National University of Singapore,An online feedback management system for students and teachers,2017
The Center for Connected Learning and Computer-Based Modeling,NetLogo: A language and IDE for programming and scientific simulations,2017
The CGAL Project,C++ library of computational geometry and geometry processing,2017
The Eclipse Foundation,"An amazing open source community of tools, projects, and  collaboration.",2017
The FreeType Project,FreeType font rendering library,2017
The GNU Project,GNU is an operating system that is free software,2017
The Honeynet Project,The Honeynet Project - R&D for Honeypot/Honeynet Technology and InfoSec Research,2017
The Java Pathfinder Team,JPF is a highly extensible Java virtual machine built for software analysis,2017
The Julia Language,A fresh approach to Technical Computing,2017
The Libreswan Project,Encrypting the internet using IKE and IPsec,2017
The Linux Foundation,A non-profit consortium dedicated to fostering the growth of Linux,2017
The MacPorts Project,Open Source package manager for Mac OS.,2017
The NetBSD Foundation,Of course it runs NetBSD!,2017
The ns-3 Network Simulator Project,ns-3 is a packet-level network simulator for research and education.,2017
The Processing Foundation,Our goal is to empower people of all backgrounds to learn how to program.,2017
The Wine Project,"Wine runs Windows applications on Linux, BSD, Solaris and Mac OS X.",2017
Tiled,"A free, easy to use and flexible 2D level editor.",2017
TimVideos,"Software & hardware to recording + streaming conferences, meetings & usergroups.",2017
Tor,Internet privacy and anonymity,2017
UCSC Xena,Helping biologists see the bigger picture in diverse cancer genomics data,2017
"Urban Energy Systems Laboratory, Empa",HUES is a platform for modeling & analysis of distributed energy systems,2017
VideoLAN,"A team of volunteers, believing in the power of open source multimedia.",2017
ViSP,Visual tracking and visual servoing library,2017
Wikimedia Foundation,Global movement whose mission is to bring free educational content to the world,2017
WorldBrain - Verifying the Internet with Science,"Full-text search your history, bookmarks and all your apps.",2017
WSO2,Comprehensive and open source middleware platform that spans the breadth of SOA,2017
wxWidgets,Library for creating portable native GUIs in C++,2017
X.Org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)",2017
Xapian Search Engine Library,"Fast, scalable and flexible search",2017
XBMC Foundation,Kodi Media Center,2017
Xen Project,Bringing the power of virtualization everywhere,2017
XMPP Standards Foundation,Secure messaging with open standards,2017
XWiki,The Advanced Open Source Enterprise Wiki,2017
Zenodo,A free and open digital archive for the long-tail of science.,2017
Zulip,"Powerful, modern, open source group chat, complete with apps for every platform.",2017
